location,totalcases,young,adult,older,prevalence,incidence,incidence7,deathrate,density,hdi
Israel,2.24719101123596,0.28,0.6,0.12,2.20224719101124,0.247191011235955,0.258426966292135,0,410.526802218115,0.906
Italy,40.9718543046358,0.13,0.64,0.23,33.4254966887417,5.94370860927152,4.10879848628194,0.073099769669051,205.450747943156,0.883
Jamaica,0.344827586206896,0.24,0.67,0.09,0.275862068965517,0.068965517241379,0.062068965517241,0,270.993074792244,0.726
Japan,0.643478260869565,0.13,0.6,0.28,0.510671936758893,0.026877470355731,0.036815358554489,0.02948402948403,347.073458415624,0.915
Jordan,0.06,0.34,0.62,0.04,0.05,0.05,0.007142857142857,0,112.14249831043,0.723
Kazakhstan,0.032786885245902,0.28,0.64,0.07,0.032786885245902,0,0,0,6.76982590658221,0.817
Kenya,0.001945525291829,0.4,0.58,0.02,0.001945525291829,0,0,0,90.2994166637383,0.579
Kuwait,2.73170731707317,0.22,0.76,0.03,2.51219512195122,0,0.167247386759582,0,232.172222222222,0.808
Latvia,1.63157894736842,0.16,0.64,0.2,1.57894736842105,0.052631578947368,0.210526315789474,0,30.9833065294307,0.854
Lebanon,1.45588235294118,0.26,0.67,0.07,1.44117647058824,0.088235294117647,0.140756302521008,0,669.494134897361,0.73
Lithuania,0.5,0.15,0.65,0.2,0.464285714285714,0.178571428571429,0.066326530612245,0,44.5313513780643,0.869
Luxembourg,6.33333333333333,0.16,0.7,0.14,6.16666666666667,0,0.857142857142856,0.026315789473684,250.093827160494,0.909
Malaysia,1.75555555555556,0.24,0.69,0.07,1.62222222222222,1,0.208616780045351,0,95.9628214883579,0.804
Maldives,2.6,0.2,0.76,0.04,2.6,0.6,0.257142857142858,0,1718.98666666667,0.719
Malta,4.2,0.14,0.65,0.2,3.8,1.8,0.514285714285714,0,1511.03125,0.885
Mauritania,0.022727272727273,0.4,0.57,0.03,0.022727272727273,0,0,0,4.27216357815077,0.527
Mexico,0.041996830427892,0.27,0.66,0.07,0.038827258320127,0.009508716323296,0.005207154177043,0,64.9146264050001,0.767
Mongolia,0.03125,0.3,0.66,0.04,0.03125,0,0,0,2.04060866654651,0.735
Morocco,0.077777777777778,0.27,0.66,0.07,0.072222222222222,0.027777777777778,0.01031746031746,0.035714285714286,80.7285189334528,0.676
Namibia,0.083333333333333,0.37,0.59,0.04,0.083333333333333,0,0,0,2.97374558175127,0.645
